ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
rtr:G0R1, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port3, Accumulator, 77898966001, 0, 74709210, 25227282559052, 59777
rtr:G0R1, send_bit_count, port4, Accumulator, 77898966001, 0, 19263232, 8784019456, 42244
rtr:G0R1, send_packet_count, port4, Accumulator, 77898966001, 0, 42244, 42244, 42244
rtr:G0R1, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port4, Accumulator, 77898966001, 0, 74629394, 21463933638148, 69193
rtr:G0R1, send_bit_count, port5, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R1, send_packet_count, port5, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R1, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port5, Accumulator, 77898966001, 0, 76748610, 62241911932748, 36836
rtr:G0R1, send_bit_count, port6, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R1, send_packet_count, port6, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R1, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port6, Accumulator, 77898966001, 0, 76775212, 60930946994616, 37044
rtr:G0R1, send_bit_count, port7, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R1, send_packet_count, port7, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R1, output_port_stalls, port7, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port7, Accumulator, 77898966001, 0, 76770834, 59440330835140, 36826
rtr:G0R1, send_bit_count, port8, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R1, send_packet_count, port8, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R1, output_port_stalls, port8, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R1, idle_time, port8, Accumulator, 77898966001, 0, 76809252, 62742375673792, 36369
rtr:G0R1, xbar_stalls, port0, Accumulator, 77898966001, 0, 8325, 8325, 8325
rtr:G0R1, xbar_stalls, port1, Accumulator, 77898966001, 0, 8086, 8086, 8086
rtr:G0R1, xbar_stalls, port2, Accumulator, 77898966001, 0, 4475, 4475, 4475
rtr:G0R1, xbar_stalls, port3, Accumulator, 77898966001, 0, 7226, 7226, 7226
rtr:G0R1, xbar_stalls, port4, Accumulator, 77898966001, 0, 4428, 4428, 4428
rtr:G0R1, xbar_stalls, port5, Accumulator, 77898966001, 0, 856, 856, 856
rtr:G0R1, xbar_stalls, port6, Accumulator, 77898966001, 0, 921, 921, 921
rtr:G0R1, xbar_stalls, port7, Accumulator, 77898966001, 0, 987, 987, 987
rtr:G0R1, xbar_stalls, port8, Accumulator, 77898966001, 0, 778, 778, 778
rtr:G0R2, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port0, Accumulator, 77898966001, 0, 74493473, 888655916375, 78950
rtr:G0R2, send_bit_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, send_packet_count, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, output_port_stalls, port1, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port1, Accumulator, 77898966001, 0, 74494003, 910640898541, 78983
rtr:G0R2, send_bit_count, port2, Accumulator, 77898966001, 0, 19265472, 8785022976, 42249
rtr:G0R2, send_packet_count, port2, Accumulator, 77898966001, 0, 42249, 42249, 42249
rtr:G0R2, output_port_stalls, port2, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port2, Accumulator, 77898966001, 0, 74627086, 15688701384172, 69612
rtr:G0R2, send_bit_count, port3, Accumulator, 77898966001, 0, 19262784, 8783818752, 42243
rtr:G0R2, send_packet_count, port3, Accumulator, 77898966001, 0, 42243, 42243, 42243
rtr:G0R2, output_port_stalls, port3, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port3, Accumulator, 77898966001, 0, 74594458, 23701372970692, 59402
rtr:G0R2, send_bit_count, port4, Accumulator, 77898966001, 0, 19261440, 8783216640, 42240
rtr:G0R2, send_packet_count, port4, Accumulator, 77898966001, 0, 42240, 42240, 42240
rtr:G0R2, output_port_stalls, port4, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port4, Accumulator, 77898966001, 0, 74586778, 12323189832900, 70223
rtr:G0R2, send_bit_count, port5, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R2, send_packet_count, port5, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R2, output_port_stalls, port5, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port5, Accumulator, 77898966001, 0, 76810002, 59866455880060, 37473
rtr:G0R2, send_bit_count, port6, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R2, send_packet_count, port6, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R2, output_port_stalls, port6, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port6, Accumulator, 77898966001, 0, 76842988, 57213469956296, 37203
rtr:G0R2, send_bit_count, port7, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R2, send_packet_count, port7, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R2, output_port_stalls, port7, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port7, Accumulator, 77898966001, 0, 76776610, 61922858298372, 36871
rtr:G0R2, send_bit_count, port8, Accumulator, 77898966001, 0, 9338880, 4258529280, 20480
rtr:G0R2, send_packet_count, port8, Accumulator, 77898966001, 0, 20480, 20480, 20480
rtr:G0R2, output_port_stalls, port8, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R2, idle_time, port8, Accumulator, 77898966001, 0, 76793594, 61757999487500, 37138
rtr:G0R2, xbar_stalls, port0, Accumulator, 77898966001, 0, 7728, 7728, 7728
rtr:G0R2, xbar_stalls, port1, Accumulator, 77898966001, 0, 7481, 7481, 7481
rtr:G0R2, xbar_stalls, port2, Accumulator, 77898966001, 0, 4017, 4017, 4017
rtr:G0R2, xbar_stalls, port3, Accumulator, 77898966001, 0, 5797, 5797, 5797
rtr:G0R2, xbar_stalls, port4, Accumulator, 77898966001, 0, 4500, 4500, 4500
rtr:G0R2, xbar_stalls, port5, Accumulator, 77898966001, 0, 759, 759, 759
rtr:G0R2, xbar_stalls, port6, Accumulator, 77898966001, 0, 898, 898, 898
rtr:G0R2, xbar_stalls, port7, Accumulator, 77898966001, 0, 892, 892, 892
rtr:G0R2, xbar_stalls, port8, Accumulator, 77898966001, 0, 785, 785, 785
rtr:G0R3, send_bit_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, send_packet_count, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, output_port_stalls, port0, Accumulator, 77898966001, 0, 0, 0, 0
rtr:G0R3, idle_time, port0, Accumulator, 77898966001, 0, 74494983, 897152816417, 78872
